scenario,region,district,festivalType,venueType,durationDays,planningYear,requestedPolicy,appliedPolicy,referenceYearFrom,referenceYearTo,earliestSourceYear,latestSourceYear,sampleCount,distinctYearsUsed,effectiveYearCount,fallbackLevel,estimatedBudget,weightedAverage,recommendedBudget,p25,p50,p75,averageSimilarity,dataQualityV3,yearWeightBreakdown
D,SEOUL,,CULTURE_ART,GREEN,13,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,5,1.4023938372991869,SAME_REGION_TYPE,170418727,394040103,255188143,50000000,185737275,495262620,0.9245201491197138,74.21792856400671,2017:1:0.019939415360373882|2018:42:0.8374554451357036|2019:1:0.019983947820789657|2025:1:0.01995896859809151|2026:5:0.10266222308504139
A,SEOUL,,TRADITION_HISTORY,GREEN,3,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,8,5.353025029988192,SAME_REGION_TYPE,154375831,299417011,249183343,51596281,166949525,406683927,0.928086392240991,76.5626502546361,2017:3:0.06123796183301394|2018:16:0.31725370917277007|2019:4:0.08040411525246689|2020:3:0.06061471157057143|2021:6:0.11998292261625783|2022:3:0.05936821104568641|2023:11:0.21768344050085017|2025:4:0.08345492800838294
B,SEOUL,,TRADITION_HISTORY,GREEN,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,8,5.353025029988192,SAME_REGION_TYPE,154375831,299417011,249183343,51596281,166949525,406683927,0.928086392240991,76.5626502546361,2017:3:0.06123796183301394|2018:16:0.31725370917277007|2019:4:0.08040411525246689|2020:3:0.06061471157057143|2021:6:0.11998292261625783|2022:3:0.05936821104568641|2023:11:0.21768344050085017|2025:4:0.08345492800838294
C,SEOUL,,TRADITION_HISTORY,GREEN,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,9,5.9785535851901805,SAME_REGION_TYPE,148264652,269531547,230949191,52128937,167837286,360332399,0.9297558978403097,77.72136728734665,2017:3:0.06102354645805475|2018:16:0.3161428937410781|2019:4:0.08012259251715559|2020:3:0.060402478411262714|2021:6:0.11956282072894134|2022:3:0.05916034231767864|2023:8:0.157760912847143|2025:4:0.08316272331793449|2026:3:0.06266168966075097
D,SEOUL,,TRADITION_HISTORY,GREEN,3,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,9,5.9785535851901805,SAME_REGION_TYPE,148264652,269531547,230949191,52128937,167837286,360332399,0.9297558978403097,77.72136728734665,2017:3:0.06102354645805475|2018:16:0.3161428937410781|2019:4:0.08012259251715559|2020:3:0.060402478411262714|2021:6:0.11956282072894134|2022:3:0.05916034231767864|2023:8:0.157760912847143|2025:4:0.08316272331793449|2026:3:0.06266168966075097
A,SEOUL,,CULTURE_ART,INDEPENDENT,3,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.105068139764305,SAME_REGION_TYPE,208061130,368395059,413069135,69021382,250000000,498141092,0.9337886007958862,81.48109519983801,2017:10:0.20101475148542597|2018:14:0.27366372852449533|2019:8:0.16130430427120432|2020:7:0.1411412662373038|2021:9:0.18146734230510486|2025:2:0.041408607176465606
B,SEOUL,,CULTURE_ART,INDEPENDENT,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.105068139764305,SAME_REGION_TYPE,208061130,368395059,413069135,69021382,250000000,498141092,0.9337886007958862,81.48109519983801,2017:10:0.20101475148542597|2018:14:0.27366372852449533|2019:8:0.16130430427120432|2020:7:0.1411412662373038|2021:9:0.18146734230510486|2025:2:0.041408607176465606
C,SEOUL,,CULTURE_ART,INDEPENDENT,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,5.388915387888654,SAME_REGION_TYPE,214487199,378793086,423263787,69035948,276844236,525237198,0.9343330022589703,81.50494893595851,2017:10:0.2007824673717169|2018:13:0.25382267331281744|2019:8:0.16111790786458136|2020:7:0.14097816938150867|2021:9:0.181257646347654|2025:2:0.04136075714781431|2026:1:0.020680378573907154
D,SEOUL,,CULTURE_ART,INDEPENDENT,3,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,5.388915387888654,SAME_REGION_TYPE,214487199,378793086,423263787,69035948,276844236,525237198,0.9343330022589703,81.50494893595851,2017:10:0.2007824673717169|2018:13:0.25382267331281744|2019:8:0.16111790786458136|2020:7:0.14097816938150867|2021:9:0.181257646347654|2025:2:0.04136075714781431|2026:1:0.020680378573907154
A,SEOUL,,NATURE_ECOLOGY,GREEN,9,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.690274868741771,GLOBAL_SIMILARITY,151366357,264502378,243480237,70000000,125813213,295326270,0.89274938806984,75.53154372674163,2017:2:0.043728163065705226|2018:5:0.10792704825245365|2019:3:0.0645543400247851|2020:2:0.0419031507728014|2021:4:0.0862191684397059|2022:3:0.0647562289514722|2023:5:0.10792704825245365|2024:7:0.1510978675534351|2025:19:0.3318869846871875
B,SEOUL,,NATURE_ECOLOGY,GREEN,9,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.690274868741771,GLOBAL_SIMILARITY,151366357,264502378,243480237,70000000,125813213,295326270,0.89274938806984,75.53154372674163,2017:2:0.043728163065705226|2018:5:0.10792704825245365|2019:3:0.0645543400247851|2020:2:0.0419031507728014|2021:4:0.0862191684397059|2022:3:0.0647562289514722|2023:5:0.10792704825245365|2024:7:0.1510978675534351|2025:19:0.3318869846871875
C,SEOUL,,NATURE_ECOLOGY,GREEN,9,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,10,8.133865254977975,SAME_REGION_TYPE,166085854,271670321,269332860,70000000,150081576,297870539,0.9011128142445654,76.92394061232429,2017:2:0.04281197229960261|2018:5:0.10566576494921881|2019:3:0.06320180001175763|2020:2:0.041025197593040325|2021:4:0.08441270778717835|2022:3:0.0633994589695313|2023:5:0.10566576494921881|2024:7:0.14793207092890634|2025:9:0.1616583404893956|2026:10:0.18422692202215027
D,SEOUL,,NATURE_ECOLOGY,GREEN,9,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,10,8.133865254977975,SAME_REGION_TYPE,166085854,271670321,269332860,70000000,150081576,297870539,0.9011128142445654,76.92394061232429,2017:2:0.04281197229960261|2018:5:0.10566576494921881|2019:3:0.06320180001175763|2020:2:0.041025197593040325|2021:4:0.08441270778717835|2022:3:0.0633994589695313|2023:5:0.10566576494921881|2024:7:0.14793207092890634|2025:9:0.1616583404893956|2026:10:0.18422692202215027
A,SEOUL,,CULTURE_ART,OTHER,3,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.831658864984186,SAME_REGION_TYPE,197868328,353834735,358552191,65506964,267573546,494620645,0.9352222340719827,81.34328493849749,2017:10:0.20039426638215288|2018:10:0.19487070940891676|2019:8:0.16080639594778776|2020:7:0.1407055964543143|2021:9:0.18090719544126121|2025:6:0.12231583636556692
B,SEOUL,,CULTURE_ART,OTHER,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.831658864984186,SAME_REGION_TYPE,197868328,353834735,358552191,65506964,267573546,494620645,0.9352222340719827,81.34328493849749,2017:10:0.20039426638215288|2018:10:0.19487070940891676|2019:8:0.16080639594778776|2020:7:0.1407055964543143|2021:9:0.18090719544126121|2025:6:0.12231583636556692
C,SEOUL,,CULTURE_ART,OTHER,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,6.456968869598531,SAME_REGION_TYPE,203760766,359318406,398010598,65736462,288794675,494402146,0.936841717066599,82.00707766168532,2017:10:0.19970329895017327|2018:7:0.13593915119535072|2019:8:0.1602519290737603|2020:7:0.14022043793954025|2021:9:0.18028342020798033|2025:6:0.12189408647785914|2026:3:0.06170767615533596
D,SEOUL,,CULTURE_ART,OTHER,3,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,6.456968869598531,SAME_REGION_TYPE,203760766,359318406,398010598,65736462,288794675,494402146,0.936841717066599,82.00707766168532,2017:10:0.19970329895017327|2018:7:0.13593915119535072|2019:8:0.1602519290737603|2020:7:0.14022043793954025|2021:9:0.18028342020798033|2025:6:0.12189408647785914|2026:3:0.06170767615533596
A,SEOUL,,COMMUNITY,WATERFRONT,2,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2021,50,5,2.894980578505695,SAME_REGION_TYPE,62921835,118137718,115469942,20188965,98325562,160000000,0.9301116904606146,78.82169039698323,2017:5:0.10161330665332663|2018:27:0.5338197945126409|2019:5:0.10037230153538304|2020:9:0.18290395197598794|2021:4:0.08129064532266131
B,SEOUL,,COMMUNITY,WATERFRONT,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2021,50,5,2.894980578505695,SAME_REGION_TYPE,62921835,118137718,115469942,20188965,98325562,160000000,0.9301116904606146,78.82169039698323,2017:5:0.10161330665332663|2018:27:0.5338197945126409|2019:5:0.10037230153538304|2020:9:0.18290395197598794|2021:4:0.08129064532266131
C,SEOUL,,COMMUNITY,WATERFRONT,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,6,2.9478888163359063,SAME_REGION_TYPE,69246753,133420631,115474176,22529898,98325562,160000000,0.9312163813269543,79.66584502909502,2017:5:0.10137688498886907|2018:27:0.5325777665883884|2019:3:0.06082613099332145|2020:9:0.18247839297996432|2021:4:0.08110150799109526|2026:2:0.041639316458361435
D,SEOUL,,COMMUNITY,WATERFRONT,2,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,6,2.9478888163359063,SAME_REGION_TYPE,69246753,133420631,115474176,22529898,98325562,160000000,0.9312163813269543,79.66584502909502,2017:5:0.10137688498886907|2018:27:0.5325777665883884|2019:3:0.06082613099332145|2020:9:0.18247839297996432|2021:4:0.08110150799109526|2026:2:0.041639316458361435
A,GANGWON,,COMMUNITY,OTHER,10,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,7.417338299660187,SAME_REGION_TYPE,80012200,186929695,86430424,28996708,50000000,423806448,0.8909263120960242,74.8174012632312,2017:4:0.07274633126541248|2018:5:0.09038974719715162|2019:4:0.076405082939501|2020:7:0.13777541032960663|2021:7:0.12781444741614856|2022:5:0.1083817984403236|2023:9:0.19508723719258245|2024:8:0.17341087750451772|2025:1:0.017989067714755298
B,GANGWON,,COMMUNITY,OTHER,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,7.417338299660187,SAME_REGION_TYPE,80012200,186929695,86430424,28996708,50000000,423806448,0.8909263120960242,74.8174012632312,2017:4:0.07274633126541248|2018:5:0.09038974719715162|2019:4:0.076405082939501|2020:7:0.13777541032960663|2021:7:0.12781444741614856|2022:5:0.1083817984403236|2023:9:0.19508723719258245|2024:8:0.17341087750451772|2025:1:0.017989067714755298
C,GANGWON,,COMMUNITY,OTHER,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,9,6.61844235617592,SAME_REGION_TYPE,67007748,157877038,72474546,34284646,48844696,256214997,0.8806321950603558,71.89879122083653,2017:1:0.0232133394549261|2019:1:0.0232133394549261|2020:4:0.09072707086844843|2021:2:0.04500915427568156|2022:5:0.11252288568920389|2023:9:0.202541194240567|2024:8:0.1800366171027262|2025:9:0.133251486012652|2026:11:0.18948491290086866
D,GANGWON,,COMMUNITY,OTHER,10,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,9,6.61844235617592,SAME_REGION_TYPE,67007748,157877038,72474546,34284646,48844696,256214997,0.8806321950603558,71.89879122083653,2017:1:0.0232133394549261|2019:1:0.0232133394549261|2020:4:0.09072707086844843|2021:2:0.04500915427568156|2022:5:0.11252288568920389|2023:9:0.202541194240567|2024:8:0.1800366171027262|2025:9:0.133251486012652|2026:11:0.18948491290086866
